,Lon,Lat,Name,Location,State
0,-68.199,44.2415,Baker Island Lighthouse, Baker Island,  ME
1,-68.3372,44.2221,Bass Harbor Lighthouse, Bass Harbor,  ME
2,-68.2699,44.2836,Bear Island Lighthouse, Bear Island,  ME
3,-68.4985,44.2488,Blue Hill Bay Lighthouse, Green Island,  ME
4,-70.48,43.117,Boon Island Lighthouse, Boon Island,  ME
5,-68.9099,44.1116,Browns Head Lighthouse, Vinalhaven Island,  ME
6,-68.4472,44.1343,Burnt Coat Habor(Hockamock Head)Lighthouse, Swans Island,  ME
7,-69.64,43.825,Burnt Island Lighthouse, Boothbay Harbor,  ME
8,-70.2,43.5666,Cape Elizabeth Lighthouse, Cape Elizabeth,  ME
9,-70.5913,43.165,Cape Neddick(Nubble) Lighthouse, York Beach,  ME
10,-69.65,43.7798,Cuckolds Light, Southport Island,  ME
11,-69.049,44.2016,Curtis Island Lighthouse, Camden,  ME
12,-68.81848,44.38313,Dice Head Lighthouse, Castine,  ME
13,-69.807,43.8833,Doubling Point Light, Arrowsic Island,  ME
14,-68.7683,44.2183,Eagle Island Lighthouse, Eagle Island,  ME
15,-68.138,44.3541,Egg Rock Lighthouse, Rock Island,  ME
16,-68.8118,44.4675,Fort Point Lighthouse, Fort Point State Park,  ME
17,-69.375,43.8917,Franklin Island Light, Franklin Island,  ME
18,-70.4249,43.3583,Goat Island Lighthouse, Goat Island,  ME
19,-68.8316,44.1353,Goose Rocks Light, Fox Islands Thorofare,  ME
20,-68.246,44.1423,Great Duck Island Lighthouse, Great Duck Island,  ME
21,-68.9433,44.2817,Grindle Point Lighthouse, Islesboro Island,  ME
22,-70.0369,43.6558,Halfway Rock Light, Middle of Casco Bay,  ME
23,-69.69,43.8234,Hendricks Head Lighthouse, Southport Island,  ME
24,-68.8616,44.025,Heron Neck Lighthouse, Green Island,  ME
25,-69.0604,44.1658,Indian Island Lighthouse, Indian Island,  ME
26,-68.6517,44.065,Isle au Haut Light, Isle au Haut,  ME
27,-69.7949,43.8833,Kennebec River (Doubling Point) Range Light, Arrowsic Island,  ME
28,-69.8965,44.304,Ladies Delight Light, in Lake Cobbosseecontee,  ME
29,-67.3666,44.5684,Libby Island Light, Libby Island,  ME
30,-67.1926,44.6511,Little River Lighthouse, Little River Island,  ME
31,-66.9768,44.8414,Lubec Channel Light, Lubec Channel,  ME
32,-67.1017,44.5017,Machias Seal Island Lighthouse, Machias Seal Island,  ME
33,-68.7032,44.13397,Mark Island (Deer Island Thorofare)Light, Mark Island,  ME
34,-69.26111,43.91806,Marshall Point Light, Port Clyde,  ME
35,-68.8549,43.7841,Matinicus Rock Lighthouse, Matinicus Rock,  ME
36,-69.315,43.765,Monhegan Island Lighthouse, Monhegan Island,  ME
37,-67.5331,44.4745,Moose Peak(Mistake Island) Light, Mistake Island,  ME
38,-68.12819,43.96849,Mount Desert Rock Lighthouse, Mount Desert Rock,  ME
39,-67.8332,44.4554,Narraguagus(Pond Island) Lighthouse, Pond Island,  ME
40,-67.7457,44.4638,Nash Island Light, Nash Island,  ME
41,-69.0441,44.0921,Owls Head Light, Rockland Harbor,  ME
42,-69.5066,43.8366,Pemaquid Point Lighthouse, Pemaquid Point,  ME
43,-69.7852,43.7867,Perkins Island Light, Perkins Island,  ME
44,-67.865,44.3684,Petit Manan Light Petit Manan Island,  ME,
45,-69.77,43.74,Pond Island Light, Popham Beach,  ME
46,-70.2349,43.6555,Portland Breakwater Light, South Portland,  ME
47,-70.2078,43.6233,Portland Head Lighthouse, Portland,  ME
48,-68.0128,44.4034,Prospect Harbor Lighthouse, Prospect Harbor,  ME
49,-68.7432,44.3092,Pumpkin Island Lighthouse, Pumpkin Island,  ME
50,-69.6,43.8034,Ram Island Light, Boothbay Harbor,  ME
51,-70.1867,43.6317,Ram Island Ledge Light, Ram Island,  ME
52,-69.0783,44.1033,Rockland Breakwater Lighthouse, Rockland,  ME
53,-69.0913,44.0856,Rockland Harbor Southwest Lighthouse, Rockland Harbor,  ME
54,-68.7266,44.015,Saddleback Ledge Light, Rock Ledge near Vinalhaven Island,  ME
55,-69.7583,43.7083,Seguin Island Lighthouse, Popham Beach,  ME
56,-70.2241,43.6519,Spring Point Ledge Light, Portland Harbor,  ME
57,-69.8016,43.8166,Squirrel Point Light, Arrowsic Island,  ME
58,-69.1848,43.9611,Tenants Harbor Lighthouse, Southern Island,  ME
59,-69.0738,43.9643,Two Bush Lighthouse, Two Bush Island,  ME
60,-66.9505,44.815,West Quoddy Head Lighthouse, West Quoddy State Park,  ME
61,-70.6967,43.0583,Whaleback Ledge Light, Mouth of Piscataqua River,  ME
62,-69.125,43.9784,Whitehead Lighthouse, Whitehead Island,  ME
63,-67.2275,45.1625,Whitlocks Mill Light, Calais,  ME
64,-68.0878,44.3616,Winter Harbor Lighthouse, Mark Island,  ME
65,-70.3292,43.4567,Wood Island Lighthouse, Biddeford Pool,  ME
